name_id,entity_type,gender,origin_family,usage_community,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,primary_form_global,primary_form_tt,primary_form_ru,source_id,source_row,status,notes
ttn_011081,surname,male,unknown,tatar_registry,Зыяханов,Зияханов,Zyyaxanov,Ziiakhanov,Зияханов,Зыяханов,Зияханов,zags_2025,ev_0013905,active,surname
ttn_011082,surname,female,unknown,tatar_registry,Зыяханова,Зияханова,Zyyaxanova,Ziiakhanova,Зияханова,Зыяханова,Зияханова,zags_2025,ev_0013906,active,surname
ttn_011085,given,male,unknown,tatar_registry,Зөбәер,Зубаир,Zobaer,Zubair,Зубаир,Зөбәер,Зубаир,zags_2025,ev_0003814,active,given
ttn_011086,surname,male,unknown,tatar_registry,Зөбәеров,Зубаиров,Zobaerov,Zubairov,Зубаиров,Зөбәеров,Зубаиров,zags_2025,ev_0013909,active,surname
ttn_011087,surname,female,unknown,tatar_registry,Зөбәерова,Зубаирова,Zobaerova,Zubairova,Зубаирова,Зөбәерова,Зубаирова,zags_2025,ev_0013910,active,surname
ttn_011090,given,female,unknown,tatar_registry,Зөбәйдә,Зубайда,Zobayda,Zubaida,Зубайда,Зөбәйдә,Зубайда,zags_2025,ev_0010079,active,given
ttn_011091,given,male,unknown,tatar_registry,Зөбәйдулла,Зубайдулла,Zobaydulla,Zubaidulla,Зубайдулла,Зөбәйдулла,Зубайдулла,zags_2025,ev_0003811,active,given
ttn_011092,surname,male,unknown,tatar_registry,Зөбәйдуллин,Зубайдуллин,Zobaydullin,Zubaidullin,Зубайдуллин,Зөбәйдуллин,Зубайдуллин,zags_2025,ev_0013907,active,surname
ttn_011093,surname,female,unknown,tatar_registry,Зөбәйдуллина,Зубайдуллина,Zobaydullina,Zubaidullina,Зубайдуллина,Зөбәйдуллина,Зубайдуллина,zags_2025,ev_0013908,active,surname
ttn_011096,given,female,unknown,tatar_registry,Зөбәрҗәт,Зубарджат,Zobarcat,Zubardzhat,Зубарджат,Зөбәрҗәт,Зубарджат,zags_2025,ev_0010080,active,given
ttn_011097,given,female,unknown,tatar_registry,Зөләйфә,Зулейфа,Zolayfa,Zuleifa,Зулейфа,Зөләйфә,Зулейфа,zags_2025,ev_0010081,active,given
ttn_011098,given,female,unknown,tatar_registry,Зөләйха,Зулейха,Zolayxa,Zuleikha,Зулейха,Зөләйха,Зулейха,zags_2025,ev_0010082,active,given
